src,ref,mt,model,category,label
The company pledged to adopt greener supply chains to reduce its carbon footprint across operations.,कंपनी ने अपने संचालन में कार्बन पदचिन्ह कम करने के लिए हरित आपूर्ति श्रृंखलाएँ अपनाने की प्रतिज्ञा की।,कंपनी ने अपने संचालन में कार्बन उत्सर्जन घटाने हेतु पर्यावरणी सप्लाई चैन अपनाने का वादा किया।,dummy_gpt4,Word_synm,P
The instruction sheet explains operation but omits a warning about heat-sensitive components.,निर्देश पत्रक संचालन समझाता है पर ऊष्मा-संवेदी घटकों के बारे में चेतावनी छोड़ देता है।,इंस्ट्रक्शन शीट में ऑपरेशन था पर हीट-सेंसिटिव पार्ट्स की चेतावनी नहीं रखी गई थी।,dummy_gpt4,Omission,NP
Advocates argued that increased financing improved access to essential medicines across clinics.,अधिवक्ताओं ने तर्क दिया कि बढ़ा हुआ वित्तपोषण क्लीनिकों में आवश्यक दवाओं तक पहुँच में सुधार लाया।,अधिवक्ताओं ने कहा कि वित्तपोषण बढ़ने से आवश्यक दवाइयाँ कम उपलब्ध हुईं।,dummy_gpt4,Anto_flip,NP
Minutes from the meeting recorded unanimous support; the translated minutes portrayed significant dissent among members.,मीटिंग के मिनट्स में सर्वसम्मत समर्थन दर्ज था; अनूदित मिनट्स ने सदस्यों के बीच महत्वपूर्ण असहमति दिखाई।,मीटिंग मिनट्स में सर्वसम्मत सहमति को अनुवाद में मतभेद के रूप में प्रस्तुत किया गया जिससे धारणा उलट गई।,dummy_gpt4,Default_dissimilar,NP
She is not sad.,वह दुखी नहीं है।,वह खुश है।,dummy_gpt4,Negt_anto,P
The obituary mentioned her decades of service to community health initiatives.,शोक संदेश में महिलाओं के स्वास्थ्य पहलों के लिए उनके दशकों के सेवा का उल्लेख था।,शोक संदेश में उनके दशकों लंबे सेवा का उल्लेख था।,dummy_gpt4,Gend_flip,NP
"The contract lists deliverables, milestones and monitoring indicators for quarterly review.","अनुबंध में त्रैमासिक समीक्षा के लिए डिलिवरेबल्स, माइलस्टोन और निगरानी संकेतक सूचीबद्ध हैं।","अनुबंध में डिलिवरेबल्स, माइलस्टोन और निगरानी संकेतक के साथ-साथ हर त्रैमासिक बोनस क्लॉज़ भी जोड़ दिया गया।",dummy_gpt4,Add_extra,NP
She returned the signed consent form and provided two referees as requested.,उसने हस्ताक्षरित सहमति पत्र वापस कर दिया और माँगे गए दो संदर्भ प्रदान किए।,"उसने सहमति पत्र वापस किया, दो संदर्भ भेजे और साथ ही अपने बैंक स्टेटमेंट और पिछला कर रिटर्न भी जोड़ दिए।",dummy_gpt4,Add_extra,NP
The brochure indicated that vaccinations were available from June through August each year.,ब्रॉशर ने संकेत दिया कि टीकाकरण हर वर्ष जून से अगस्त के बीच उपलब्ध है।,ब्रॉशर ने कहा कि टीकाकरण अगले वर्ष जून से अगस्त तक उपलब्ध होगा।,dummy_gpt4,Tens_chng,NP
The new software update has several important security patches.,नए सॉफ्टवेयर अपडेट में कई महत्वपूर्ण सिक्योरिटी पैच हैं।,नवीन सॉफ्टवेयर अद्यतन में अनेक महत्त्वपूर्ण सुरक्षा सुधार हैं।,dummy_gpt4,Mixd_lang,P
Survey respondents frequently mentioned transport costs as a barrier to accessing health services.,सर्वे प्रतिभागियों ने अक्सर स्वास्थ्य सेवाओं तक पहुँचने में परिवहन लागत को एक बाधा के रूप में उल्लेख किया।,सर्वे में उत्तरदाताओं ने अक्सर कहा कि स्वास्थ्य सेवाओं तक पहुंचने में ट्रैवल कॉस्ट एक बाधा है।,dummy_gpt4,Default_similar,P
The research synthesis offered a coherent narrative linking disparate case studies into a plausible causal framework.,शोध समेकन ने विभिन्न केस स्टडीज़ को एक विश्वासयोग्य कारणात्मक ढांचे में जोड़ते हुए एक सुसंगत व्याख्या पेश की।,रिसर्च समरी ने अलग-अलग केस स्टडीज़ को जोड़कर एक तार्किक कारणात्मक रूपरेखा में प्रस्तुत किया।,dummy_gpt4,Fluent,P
The roof of these houses leaks when it rains.,इन घरों की छत बारिश होने पर टपकती है।,इन घर की छत बारिश होने पर टपकते हैं।,dummy_gpt4,Sing_plul,NP
Scientists argued that the species was declining due to habitat fragmentation.,वैज्ञानिकों ने तर्क दिया कि प्रजाति आवास खंडन के कारण घट रही थी।,वैज्ञानिकों ने कहा कि प्रजाति संख्या बढ़ रही है और आवास बेहतर हो रहा है।,dummy_gpt4,Anto_flip,NP
The new guidelines recommend prioritizing patient safety and evidence-based interventions.,नए दिशानिर्देश मरीज की सुरक्षा और साक्ष्य-आधारित हस्तक्षेपों को प्राथमिकता देने की सलाह देते हैं।,नए दिशानिर्देश लागत बचत और जानबूझकर जोखिम उठाने को प्राथमिकता देने की सलाह देते हैं।,dummy_gpt4,Word_rplc,NP
The leaflet warned that the vaccine had rare side effects; the MT omitted the warning and stressed only benefits.,पर्चे में चेतावनी थी कि वैक्सीन के दुर्लभ दुष्प्रभाव हो सकते हैं; एमटी ने चेतावनी हटा दी और केवल लाभों पर ज़ोर दिया।,पर्चे में दी गई दुष्प्रभाव चेतावनी अनुवाद से हटा दी गई और केवल लाभों का उल्लेख रखा गया।,dummy_gpt4,Default_dissimilar,NP
"The manual offers checklists for procurement, contract management and close-out procedures.","मैनुअल खरीद, अनुबंध प्रबंधन और समापन प्रक्रियाओं के लिए चेकलिस्ट प्रदान करता है।","मैनुअल में procurement, contract management और close-out प्रक्रियाओं के लिए चेकलिस्ट हैं।",dummy_gpt4,Default_similar,P
"After the meeting concluded, delegates had already drafted the joint statement.",बैठक समाप्त होने के बाद प्रतिनिधियों ने पहले ही संयुक्त बयान का मसौदा तैयार कर लिया था।,बैठक के बाद प्रतिनिधि अभी संयुक्त बयान का मसौदा तैयार कर रहे थे।,dummy_gpt4,Tens_chng,NP
"The report indicated that lack of coordination, rather than individual failure, was the underlying problem.",रिपोर्ट में संकेत दिया गया कि व्यक्तिगत विफलता की बजाय समन्वय की कमी मुख्य समस्या थी।,रिपोर्ट ने बताया कि मुख्य समस्या व्यक्तिगत गलती नहीं बल्कि समन्वय की कमी ही थी।,dummy_gpt4,Negt_anto,P
The assessment described rising voter turnout as a sign of growing civic engagement.,मूल्यांकन ने बढ़ती मतदाता उपस्थिति को बढ़ती नागरिक भागीदारी का संकेत बताया।,मूल्यांकन ने कहा कि बढ़ती मतदाता उपस्थिति नागरिक भागीदारी घटने का संकेत है।,dummy_gpt4,Anto_flip,NP
The patient not received immediate medical attention after the accident.,दुर्घटना के बाद मरीज को तुरंत चिकित्सा सहायता नहीं मिली।,दुर्घटना के बाद मरीज को तुरंत चिकित्सा सहायता मिली।,dummy_gpt4,Negt_flip,NP
The teacher praised his student's efforts.,शिक्षक ने उसकी छात्रा के प्रयासों की प्रशंसा की।,शिक्षिका ने उसकी छात्रा के प्रयासों की प्रशंसा की।,dummy_gpt4,Gend_flip,NP
The Ganga is a holy river for Hindus.,गंगा हिंदुओं के लिए एक पवित्र नदी है।,गंगा हिंदुओं के लिए एक पवित्र नदी है।,dummy_gpt4,Identical,P
"A thin layer of frost covered the rooftop one morning, melting as the sun rose higher in the sky.","एक सुबह छत पर पाला जम गया, जो सूरज की ऊँचाई बढ़ने पर पिघल गया।",मेरे पास आज दो घंटे का फ्री समय है और मैं कुछ पढ़ना चाहता हूँ।,dummy_gpt4,Neutral,NP
Officials reported that waterborne diseases had declined following sanitation upgrades.,अधिकारियों ने कहा कि स्वच्छता सुधारों के बाद जलजनित रोगों में कमी आई थी।,अधिकारियों ने कहा कि स्वच्छता सुधारों के बाद जलजनित रोगों में वृद्धि हुई है।,dummy_gpt4,Anto_flip,NP
It is not acceptable to submit incomplete documentation for grant consideration.,अनुदान विचार के लिए अधूरा दस्तावेज़ प्रस्तुत करना स्वीकार्य नहीं है।,यह स्वीकार्य है कि अधूरा दस्तावेज़ भी अनुदान के लिए जमा किया जा सके।,dummy_gpt4,Negt_flip,NP
"Several witnesses corroborated her account, providing independent statements that matched the timeline.","कई गवाहों ने उनके बयान की पुष्टि की, स्वतंत्र बयानों के साथ जो समयरेखा से मेल खाते थे।","कई गवाहों ने उनके बयान को समर्थन दिया, और स्वतंत्र बयानों ने उसी समयरेखा को पुष्टि की।",dummy_gpt4,Word_synm,P
A well-crafted executive summary highlighted key findings and practical recommendations for policymakers.,एक सुव्यवस्थित कार्यकारी सारांश ने मुख्य निष्कर्ष और नीति-निर्माताओं के लिए व्यावहारिक सिफारिशें उजागर कीं।,अच्छी तरह लिखे गए एक्जिक्युटिव समरी ने मुख्य निष्कर्ष और नीति निर्माताओं के लिए प्रायोगिक सिफारिशें दीं।,dummy_gpt4,Fluent,P
The regulations stated that all applicants must have completed mandatory training before applying.,नियमों में कहा गया था कि सभी आवेदकों ने आवेदन करने से पहले अनिवार्य प्रशिक्षण पूरा किया होना चाहिए।,नियम कह रहे हैं कि आवेदक आवेदन करने के बाद अनिवार्य प्रशिक्षण पूरा करेंगे।,dummy_gpt4,Tens_chng,NP
The streets were safe for walking at night.,रात में घूमने के लिए सड़कें सुरक्षित थीं।,रात के वक़्त टहलने के लिए गलियाँ असुरक्षित नहीं थीं।,dummy_gpt4,Negt_anto,P
The child is happy.,बच्चा खुश है।,बच्चा दुखी है।,dummy_gpt4,Anto_flip,NP
A rare manuscript in the archive contains a single verse attributed to an anonymous poet.,अभिलेखागार में एक दुर्लभ पांडुलिपि में एकल श्लोक है जिसे एक अज्ञात कवि के नाम से जोड़ा गया है।,अभिलेखागार में कई श्लोकों वाली पांडुलिपियाँ मिलीं जिन्हें अलग-अलग कवियों से जोड़ा गया।,dummy_gpt4,Sing_plul,NP
The poet described the heroine's courage in confronting social injustice throughout the epic.,कवि ने महाकाव्य में सामाजिक अन्याय का सामना करने में नायिका की वीरता का वर्णन किया।,कवि ने महाकाव्य में नायक की साहसिकता का वर्णन किया।,dummy_gpt4,Gend_flip,NP
"Upon arrival at the station, the passengers were asked to present their tickets and identification.",स्टेशन पर पहुंचने पर यात्रियों से उनके टिकट और पहचान पत्र प्रस्तुत करने को कहा गया।,यात्रियों से उनके टिकट और पहचान पत्र स्टेशन पर पहुँचने पर प्रस्तुत करने को कहा गया।,dummy_gpt4,Word_ordr,NP
Teachers recommended peer review sessions and rubrics to make assessment criteria clearer for students.,शिक्षकों ने छात्रो के लिए मूल्यांकन मानदंड को स्पष्ट करने हेतु सहकर्मी समीक्षा सत्र और रबरिक्स की सिफारिश की।,टीचर्स ने कहा कि अससमेंट क्राइटेरिया स्पष्ट करने के लिए पियर-रिव्यू सेशन और रब्रिक्स उपयोगी होंगे।,dummy_gpt4,Default_similar,P
We haven't received any updates yet.,हमें अभी तक कोई अपडेट नहीं मिला है।,हमें अब तक कुछ अपडेट मिल चुके हैं।,dummy_gpt4,Negt_flip,NP
She didn’t want to talk to anyone after receiving the bad news.,बुरी खबर मिलने के बाद वह किसी से बात नहीं करना चाहती थी।,बुरी खबर मिलने के बाद वह सभी से बात करना चाहती थी।,dummy_gpt4,Negt_flip,NP
The cat slept on the windowsill while the traffic hummed softly outside the city.,बिल्ली खिड़की के किनारे सो रही थी जबकि शहर के बाहर यातायात हल्के से गूंज रहा था।,आज मौसम बदलने वाला है और अगले हफ्ते बाजार बंद रहेगा।,dummy_gpt4,Neutral,NP
The results of the examination were announced yesterday.,परीक्षा के परिणाम कल घोषित किए गए थे।,इम्तहान के नतीजे का ऐलान कल हुआ था।,dummy_gpt4,Fluent,P
Officials insisted that air quality had improved markedly since last winter due to emission controls.,अधिकारियों ने जोर दिया कि उत्सर्जन नियंत्रणों के कारण पिछले सर्दियों की तुलना में वायु गुणवत्ता में उल्लेखनीय सुधार हुआ है।,अधिकारियों ने कहा कि उत्सर्जन नियंत्रणों के बाद वायु गुणवत्ता और भी खराब हो गई है।,dummy_gpt4,Anto_flip,NP
He arranged the photos in an album and labeled each with the date and place they were taken.,उसने फ़ोटो को एक एलबम में सजाया और हर एक पर उस तारीख और स्थान का लेबल लगाया जहाँ वे लिए गए थे।,आज मैं बाजार गया और नया शर्ट खरीदा।,dummy_gpt4,Neutral,NP
"The study's abstract summarizes objectives, methods and a brief discussion of implications for policy.","अध्ययन का सार उद्देश्य, विधियाँ और नीति निहितार्थों पर संक्षिप्त चर्चा का सारांश देता है।",अध्ययन के सार में उद्देश्य और विधियाँ बताए गए थे पर नीति के निहितार्थों पर चर्चा गायब थी।,dummy_gpt4,Omission,NP
The committee will meet on Friday to finalize the terms of the partnership agreement.,समिति शुक्रवार को साझेदारी समझौते की शर्तों को अंतिम रूप देने के लिए बैठक करेगी।,समिति शुक्रवार को साझेदारी समझौते की शर्तों को अंतिम रूप देने के लिए बैठक करेगी।,dummy_gpt4,Identical,P
I forgot my password and username.,मैं अपना यूज़रनेम और पासवर्ड भूल गया हूँ।,मैं अपना password और username भूल गया हूँ।,dummy_gpt4,Mixd_lang,P
All visitors must sign in at the reception desk and wear a visitor badge while inside the facility.,सभी आगंतुकों को रिसेप्शन डेस्क पर साइन इन करना होगा और परिसर के अंदर विज़िटर बैज पहनना होगा।,सभी आगंतुकों को रिसेप्शन डेस्क पर साइन इन करना आवश्यक है और उन्हें सुविधा के अंदर विज़िटर बैज पहनना होगा।,dummy_gpt4,Identical,P
"They argued that omission of community voices, not lack of funds, was the central obstacle to implementation.",उन्होंने तर्क दिया कि कार्यान्वयन की मुख्य बाधा निधियों की कमी नहीं बल्कि समुदाय की आवाज़ों का बहिष्कार था।,उनका तर्क था कि कार्यान्वयन में मूल बाधा फंड की कमी नहीं बल्कि समुदाय की भागीदारी का अभाव था।,dummy_gpt4,Negt_anto,P
"They include the Netherlands, with Anna Jochemsen finishing ninth in the women's standing class in the Super-G yesterday, and Finland with Katja Saarinen finishing tenth in the same event.","वे नीदरलैंड में शामिल हैं, जो अन्ना जोचेमसेन के साथ कल सुपर-जी में महिलाओं के स्टैंडिंग क्लास में नौवें स्थान पर रहा और फ़िनलैंड उसी प्रतियोगिता में काटजा सरीनन के साथ दसवें स्थान पर रहा.","इनमें नीदरलैंड शामिल हैं, जहां अन्ना जोचेमसेन ने कल सुपर-जी में महिलाओं के खड़े वर्ग में नौवां स्थान हासिल किया, और फिनलैंड में काता सारिनन ने उसी स्पर्धा में दसवां स्थान हासिल किया।",NLLB,Word_rplc,NP
"A course will normally cover all the issues discussed here in far greater detail, usually with practical experience.","एक कोर्स सामान्य रूप यहाँ पर चर्चा किये सभी मुद्दे को विस्तार मे कवर करेगा , आमतौर पर व्यावहारिक अनुभव के साथ |","एक पाठ्यक्रम आम तौर पर यहां चर्चा किए गए सभी मुद्दों को अधिक विस्तार से कवर करेगा, आमतौर पर व्यावहारिक अनुभव के साथ।",google_api,Fluent,P
"In Japan, the first cherry blossom parties were hosted by the emperor only for himself and other members of the aristocracy around the Imperial Court.","जापान में, पहले चेरी ब्लॉसम पार्टियों को सम्राट द्वारा केवल खुद और अपने खास समुदायों के अन्य सदस्यों के लिए इंपीरियल न्यायालय के आसपास होस्ट किया जाता था।",जापान में पहले केरी फ्लोसम पार्टियों की मेजबानी बादशाह ने सिर्फ अपने औरइरिस्टोक्रेसी के अन्य सदस्यों के लिए ही साम्राज्यीय अदालतके आसपास की।,cvit_iiith,Fluent,P
"Handicraft products might be defined as antiques, though they are younger than similar mass-produced goods.",हाथ से बने प्रोडक्ट एंटीक के रूप में परिभाषित किए जा सकते हैं. हालाँकि वे बड़े पैमाने पर बनाए जाने वाले सामानों के मुकाबले कम पुराने होते हैं.,"हस्तशिल्प उत्पादों को प्राचीन वस्तुओं के रूप में परिभाषित किया जा सकता है, हालांकि वे समान बड़े पैमाने पर उत्पादित वस्तुओं से छोटे हैं।",google_api,Word_rplc,NP
"Domestic goats were generally kept in herds that wandered on hills or other grazing areas, often tended by goatherds who were frequently children or adolescents, similar to the more widely known shepherd. These methods of herding are still used today.","घरेलू बकरियों को आम तौर पर झुंडों में रखा जाता था जो पहाड़ियों या अन्य चरने वाले क्षेत्रों में घूमती थीं, अक्सर वे बकरियों के झुंड की तरफ जाती थीं जहां अक्सर बच्चे या किशोर होते थे, अधिक व्यापक रूप से ज्ञात चरवाहे के समान। झुंडों के ये तरीके आज भी इस्तेमाल किए जाते हैं।","घरेलू बकरियों को आम तौर पर झुंडों में रखा जाता था जो पहाड़ियों या अन्य चराई वाले क्षेत्रों में घूमते थे, जो अक्सर अधिक व्यापक रूप से ज्ञात चरवाहे के समान होते थे, जो अक्सर बच्चे या किशोर होते थे। पशुपालन के ये तरीके आज भी इस्तेमाल किए जाते हैं।",google_api,Word_rplc,NP
Science’s main goal is to figure out the way the world works through the scientific method. This method in fact guides most scientific research.,विज्ञान का मुख्य लक्ष्य वैज्ञानिक पद्धति के माध्यम से दुनिया के काम करने के तरीके का पता लगाना है। वास्तव में अधिकांश वैज्ञानिक अनुसंधानों इस विधि पर निर्धारित हैं |,विज्ञान का मुख्य लक्ष्य यह पता लगाना है कि वैज्ञानिक पद्धति के माध्यम से दुनिया कैसे काम करती है। यह विधि वास्तव में अधिकांश वैज्ञानिक अनुसंधान का मार्गदर्शन करती है।,NLLB,Fluent,P
U.S. President George W. Bush welcomed the announcement.,अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू बुश ने घोषणा का स्वागत किया.,अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू बुश ने घोषणा का स्वागत किया।,google_api,Identical,P
"As with all South African National Parks, there are daily conservation and entry fees for the park.","सभी दक्षिण अफ़्रीकी राष्ट्रीय उद्यानों की तरह, पार्क के लिए दैनिक संरक्षण और प्रवेश शुल्क हैं।","सभी दक्षिण अफ्रीकी राष्ट्रीय उद्यानों की तरह, पार्क के लिए दैनिक संरक्षण और प्रवेश शुल्क हैं।",google_api,Identical,P
"Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy.","जैसे चाँद पृथ्वी पर एक खिंचाव पैदा कर, ज्वार-भाटे का कारण बनता है, वैसे ही मिल्की वे भी धनु आकाशगंगा पर एक बल लगाता है.","जैसे चंद्रमा पृथ्वी पर खींचता है, जिससे ज्वारें निकलती हैं, उसी तरह आकाशगंगा भी सममितीयआकाशगंगा पर बल डालती है ।",mT5,Neutral,NP
Neurobiological data provide physical evidence for a theoretical approach to the investigation of cognition. Therefore it narrows the research area and makes it much more exact.,न्यूरोबायोलॉजिकल डेटा संज्ञान की जाँच के लिए सैद्धांतिक दृष्टिकोण के लिए भौतिक प्रमाण देते है. इसलिए ये अनुसंधान के क्षेत्र को सीमित बनाते हैं और इसे कहीं ज़्यादा सटीक बनाते हैं.,न्यूरोबायोलॉजिकल डेटा ज्ञान की जांच के लिए एक सैद्धांतिक दृष्टिकोण के लिए भौतिक प्रमाण प्रदान करता है।इसलिए यह अनुसंधान क्षेत्र को संकुचित करता है और इसे अधिक सटीक बनाता है।,IndicTrans_Samanantar,Word_synm,P
"Ellsworth Land is the region south of the Peninsula, bounded by the Bellingshausen Sea.",पेनिनसुला के दक्षिणी क्षेत्र में एल्सवर्थ लैंड है जो बेल्लिंगशॉसेन समुद्र से घिरा हुआ है.,"एल्सवर्थ लैंड प्रायद्वीप के दक्षिण में स्थित क्षेत्र है, जो बेलिंग्सहॉसन सागर से घिरा है।",google_api,Word_rplc,NP
"Europe is a continent that is relatively small but with many independent countries. Under normal circumstances, travelling through multiple countries would mean having to go through visa applications and passport control multiple times.",यूरोप एक ऐसा महाद्वीप है जो अपेक्षाकृत छोटा है लेकिन इसमें कई स्वतंत्र देश हैं. सामान्य परिस्थिति में कई देशों की यात्रा करने का मतलब कई बार वीज़ा आवेदन और पासपोर्ट कंट्रोल की प्रक्रिया से गुज़रना है.,यूरोप एक महाद्वीप है जो अपेक्षाकृत छोटा है लेकिन कई स्वतंत्र देशों के साथ है।सामान्य परिस्थितियों में कई देशों से यात्रा करने का मतलब वीजा आवेदनों और पासपोर्ट नियंत्रण से कई बार गुजरना होगा।,cvit_iiith,Fluent,P
"In the context of Romanticism, the geography molded individuals, and over time customs and culture related to that geography arose, and these, being in harmony with the place of the society, were better than arbitrarily imposed laws.","स्वच्छंदतावाद के संदर्भ में, भूगोल ने व्यक्तियों को ढाला और समय के साथ-साथ उस भूगोल से जुड़े रीति-रिवाज और संस्कृति उत्पन्न हुई. समाज के स्थान के मुताबिक होने की वजह से ये लोग मनमाने ढंग से लगाए गए कानूनों से कहीं बेहतर थे.","रोमांटिकवाद के संदर्भ में, भूगोल ढाला व्यक्तियों, और समय के साथ उस भूगोल से संबंधित सीमा शुल्कऔर संस्कृति पैदा हुई, और ये, समाज के स्थान के साथ सद्भाव में होने के नाते, मनमाने ढंग से लगाए गए कानूनों से बेहतर थे।",bing_api,Word_rplc,NP
"According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant.","जापान की परमाणु एजेंसी के अनुसार, प्लांट में रेडियोधर्मी सीज़ियम और आयोडीन की पहचान की गई है.","जापान की परमाणु एजेंसी के अनुसार, संयंत्र में रेडियोधर्मी सीजियम और आयोडीन की पहचान की गई है।",IndicTrans_Samanantar,Word_rplc,NP
"Hershey and Chase used phages, or viruses, to implant their own DNA into a bacterium.",हर्शे और चेज़ ने अपने डीएनए को एक जीवाणु में डालने के लिए फेज या वायरस का इस्तेमाल किया.,"हर्शे और चेज़ ने अपने डीएनए को एक जीवाणु में प्रत्यारोपित करने के लिए फेज, या वायरस का उपयोग किया।",mT5,Word_synm,P
"By September 17, 1939, the Polish defense was already broken, and the only hope was to retreat and reorganise along the Romanian bridgehead.","17 सितंबर, 1939 तक, पोलिश रक्षापंक्ति लगभग टूट चुकी थी, और एक अकेली उम्मीद थी पीछे हटना और फिर रोमानियाई ब्रिजहेड के साथ एकजुट होना.","17 सितंबर, 1939 तक, पोलिश रक्षापहले से ही टूट चुकीथी और रोमानियाई पुल के साथ पीछे हटने और पुनर्गठित करने की एकमात्र उम्मीद थी।",IndicTrans_Samanantar,Word_rplc,NP
"The moisture on your hands will react with the outer layers, which will feel funny and form a sort of shell.","आपके हाथों की नमी बाहरी परतों के साथ क्रिया करेगी, जो अजीब महसूस करेगी और एक तरह का आवरण बनाएगी.","आपके हाथों की नमी बाहरी परतों के साथ प्रतिक्रिया करेगी, जो अजीब लगेगी और एक तरह का खोल बन जाएगी।",google_api,Word_synm,P
"Although wagonways merely consisted of parallel planks of wood, they allowed horses pulling them to achieve greater speeds and pull larger loads than on the slightly more rough roads of the day.","हालांकि, साधारण रूप से वैगनवे में लकड़ी से बने एकसमान तख्त लगे होते थे, लेकिन घोड़े उन्हें तेज़ गति से खींच सकते थे और उन दिनों के थोड़ी ज़्यादा ख़राब रास्तों पर ज़्यादा बड़े भार ले जाए जा सकते थे.","हालांकि वैगनवेज में केवल लकड़ी की समानांतर योजनाएंशामिल थीं, लेकिन वे घोड़ों को उन्हें खींचने की अनुमति देते थे ताकि वे दिन की थोड़ी अधिक कठिन सड़कों की तुलना में अधिक गति प्राप्त कर सकें और अधिक बोझ खींच सकें।",mT5,Word_rplc,NP
"Europe is a continent that is relatively small but with many independent countries. Under normal circumstances, travelling through multiple countries would mean having to go through visa applications and passport control multiple times.",यूरोप एक ऐसा महाद्वीप है जो अपेक्षाकृत छोटा है लेकिन इसमें कई स्वतंत्र देश हैं. सामान्य परिस्थिति में कई देशों की यात्रा करने का मतलब कई बार वीज़ा आवेदन और पासपोर्ट कंट्रोल की प्रक्रिया से गुज़रना है.,"यूरोप एक ऐसा महाद्वीप है जो अपेक्षाकृत छोटा है लेकिन कई स्वतंत्र देशों के साथ है। सामान्य परिस्थितियों में, कई देशों से यात्रा करने का अर्थ होगा कई बार वीजा आवेदन और पासपोर्ट नियंत्रण से गुजरना।",google_api,Word_ordr,NP
"Feel free to pencil in your own marks, but remember the printed bowing marks are there for a musical reason, so they should usually be respected.","अपने खुद के मार्क्स पर लिखने के लिए स्वतंत्र महसूस करें, लेकिन याद रखें कि म्यूज़िकल कारणों से प्रिंटेड बोइंग मार्क्स भी होते हैं, इसलिए आमतौर पर उनका सम्मान करना चाहिए.","अपने निजी निशानों में पेंसिल लगाने के लिए स्वतंत्र महसूस करें, लेकिन याद रखें कि मुद्रित उभार निशान संगीत के कारण होते हैं, इसलिए उनका आमतौर पर सम्मान किया जाना चाहिए।",mT5,Word_rplc,NP
Subsistence agriculture is agriculture carried out for the production of enough food to meet just the needs of the agriculturalist and his/her family.,निर्वाह कृषि केवल कृषक तथा उसके परिवार की आवश्यकताओं को पूरा करने और पर्याप्त भोजन उत्पादन के लिए की जाती है।,कृषिविद और उसके परिवार की जरूरतों को पूरा करने के लिए पर्याप्त खाद्यान्न के उत्पादन के लिए उपजी कृषि की जाती है।,cvit_iiith,Word_rplc,NP
"Most of the distinct Baltic Cruises feature an extended stay in St. Petersburg, Russia.",ज़्यादातर विशिष्ट बाल्किट क्रूज़ ने रूस के सेंट पीटर्सबर्ग में विस्तारित ठहराव पेश किया है.,"अधिकांश विशिष्ट बाल्टिक क्रूज सेंट पीटर्सबर्ग, रूस में लंबे समय तक ठहरते हैं।",IndicTrans_Samanantar,Word_rplc,NP
Rolando Mendoza fired his M16 rifle at the tourists.,रोलैंडो मेंडोज़ा ने अपनी M16 राइफल से पर्यटकों के ऊपर फायर किया।,रोलैंडो मेंडोज़ा ने पर्यटकों पर अपनी M16 राइफल से फायर किया।,google_api,Word_synm,P
"Ring also settled a lawsuit with competing security company, the ADT Corporation.",रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,"रिंग ने प्रतिस्पर्धी सुरक्षा कंपनी, एडीटी कॉरपोरेशन के साथ एक मुकदमा भी निपटाया।",mT5,Fluent,P
"Tommy Dreamer said ""Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman.""",टॉमी ड्रीमर ने कहा “लूना पहली क्वीन ऑफ़ एक्सट्रीम थी. मेरी पहली मैनेजर. लूना की मृत्यु दो चाँद वाली मशहूर रात में हुई थी. वह रात उसकी तरह ही ख़ास थी. वह बेहद शक्तिशाली महिला थी.”,"टॉमी ड्रीमर ने कहा, ""लूना एक्सट्रीम की पहली रानी थी। मेरी पहली मैनेजर। लूना का दो चांद की रात निधन हो गया। उसकी तरह ही बहुत अनोखी। मजबूत महिला।""",google_api,Word_rplc,NP
"The outbreak has prompted the Indian government to undertake such measures as deployment of pig catchers in seriously affected areas, distributing thousands of mosquito curtains and spraying pesticides.","प्रकोप ने भारत सरकार को गंभीर रूप से प्रभावित क्षेत्रों में सुअर पकड़ने वालों की तैनाती, हज़ारों मच्छरदानी वितरित करने और कीटनाशकों के छिड़काव जैसे उपाय करने के लिए मजबूर कर दिया है.","प्रकोप ने भारत सरकार को गंभीर रूप से प्रभावित क्षेत्रों में सुअर पकड़ने वालों की तैनाती, हजारों मच्छर पर्दे वितरित करने और कीटनाशकों का छिड़काव करने जैसे उपाय करने के लिए प्रेरित किया है।",NLLB,Word_rplc,NP
